Sort,Plot,Outside_historic_plot,Measure_year,Date,Origin_year,Stand_year,Common_name,Species_code,Old_tag,LTREB_tag,DBH_cm,As_class,AGB_kg,Height_stem,Height_dead,Distance,Azimuth,Status,Notes
28,BS34A,NA,1949,NA,1879,70,Acer pensylvanicum,ACPE,34,NA,6.6,NA,10.5,NA,NA,NA,NA,NA,NA
29,BS34A,NA,1944,NA,1879,65,Acer pensylvanicum,ACPE,45,NA,6.9,NA,11.4,NA,NA,NA,NA,NA,NA
30,BS34A,NA,1949,NA,1879,70,Acer pensylvanicum,ACPE,45,NA,6.9,NA,11.4,NA,NA,NA,NA,NA,NA
31,BS34A,NA,1954,NA,1879,75,Acer pensylvanicum,ACPE,45,NA,7.1,NA,12.3,NA,NA,NA,NA,NA,NA
32,BS34A,NA,1939,NA,1879,60,Acer pensylvanicum,ACPE,26,NA,7.4,NA,13.3,NA,NA,NA,NA,NA,NA
33,BS34A,NA,1954,NA,1879,75,Acer pensylvanicum,ACPE,34,NA,7.6,NA,14.3,NA,NA,NA,NA,NA,NA
34,BS34A,NA,1944,NA,1879,65,Acer pensylvanicum,ACPE,26,NA,8.9,NA,20.1,NA,NA,NA,NA,NA,NA
35,BS34A,NA,1949,NA,1879,70,Acer pensylvanicum,ACPE,26,NA,10.9,NA,31.4,NA,NA,NA,NA,NA,NA
36,BS34A,NA,1954,NA,1879,75,Acer pensylvanicum,ACPE,26,NA,11.2,NA,33.1,NA,NA,NA,NA,NA,NA
37,BS34A,NA,1982,NA,1879,103,Acer rubrum,ACRU,194C,NA,7.1,NA,7.3,NA,NA,NA,NA,NA,NA
38,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,112,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
39,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,114,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
40,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,115,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
41,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,120,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
42,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,138,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
43,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,141,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
44,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,467,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
45,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,531,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
46,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,641,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
47,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,642,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
48,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,648,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
49,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,632A,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA
50,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,27,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
51,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,83,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
52,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,122,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
53,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,184,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
54,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,220,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
55,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,283,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
56,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,301,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
57,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,313,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
58,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,376,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
59,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,448,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
60,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,463,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
61,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,486,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
62,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,549,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
63,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,559,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
64,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,606,NA,3.6,NA,3.3,NA,NA,NA,NA,NA,NA
65,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,4,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
66,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,127,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
67,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,130,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
68,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,178,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
69,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,180,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
70,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,192,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
71,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,219,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
72,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,226,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
73,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,265,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
74,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,302,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
75,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,304,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
76,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,360,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
77,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,361,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
78,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,391,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
79,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,398,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
80,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,404,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
81,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,433,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
82,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,441,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
83,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,451,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
84,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,455,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
85,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,507,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
86,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,522,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
87,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,566,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
88,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,574,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
89,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,649,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
90,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,138,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
91,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,141,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
92,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,301,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
93,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,376,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
94,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,448,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
95,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,467,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
96,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,486,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
97,BS34A,NA,1944,NA,1879,65,Acer saccharum,ACSA,141,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
98,BS34A,NA,1944,NA,1879,65,Acer saccharum,ACSA,301,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
99,BS34A,NA,1944,NA,1879,65,Acer saccharum,ACSA,448,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
100,BS34A,NA,1949,NA,1879,70,Acer saccharum,ACSA,301,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
101,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,192A,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
102,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,200A,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
103,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,397C,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
104,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,437C,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
105,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,465E,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
106,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,498B,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
107,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,594A,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
108,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,623D,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
109,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,647A,NA,3.8,NA,3.9,NA,NA,NA,NA,NA,NA
110,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,22,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
111,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,67,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
112,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,90,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
113,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,113,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
114,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,126,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
115,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,128,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
116,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,215,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
117,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,216,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
118,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,246,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
119,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,247,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
120,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,269,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
121,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,408,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
122,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,425,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
123,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,429,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
124,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,487,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
125,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,515,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
126,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,530,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
127,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,546,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
128,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,554,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
129,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,555,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
130,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,27,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
131,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,178,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
132,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,220,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
133,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,302,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
134,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,304,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
135,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,313,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
136,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,360,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
137,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,404,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
138,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,441,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
139,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,463,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
140,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,507,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
141,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,531,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
142,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,549,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
143,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,559,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
144,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,641,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
145,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,642,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
146,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,648,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
147,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,649,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
148,BS34A,NA,1944,NA,1879,65,Acer saccharum,ACSA,180,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
149,BS34A,NA,1944,NA,1879,65,Acer saccharum,ACSA,467,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
150,BS34A,NA,1949,NA,1879,70,Acer saccharum,ACSA,141,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
151,BS34A,NA,1949,NA,1879,70,Acer saccharum,ACSA,448,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
152,BS34A,NA,1954,NA,1879,75,Acer saccharum,ACSA,301,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
153,BS34A,NA,1954,NA,1879,75,Acer saccharum,ACSA,313,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
154,BS34A,NA,1954,NA,1879,75,Acer saccharum,ACSA,448,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
155,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,32A,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
156,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,64B,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
157,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,153A,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
158,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,173C,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
159,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,226B,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
160,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,328C,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
161,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,351A,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
162,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,351B,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
163,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,379A,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
164,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,397B,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
165,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,530A,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
166,BS34A,NA,1982,NA,1879,103,Acer saccharum,ACSA,601A,NA,4.1,NA,4.5,NA,NA,NA,NA,NA,NA
167,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,98,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
168,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,111,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
169,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,131,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
170,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,137,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
171,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,139,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
172,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,234,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
173,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,238,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
174,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,253,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
175,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,350,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
176,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,362,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
177,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,436,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
178,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,459,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
179,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,482,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
180,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,483,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
181,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,494,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
182,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,499,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
183,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,500,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
184,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,521,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
185,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,527,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
186,BS34A,NA,1934,NA,1879,55,Acer saccharum,ACSA,640,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
187,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,90,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
188,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,130,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
189,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,180,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
190,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,184,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
191,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,215,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
192,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,219,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
193,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,238,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
194,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,246,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
195,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,247,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
196,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,265,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
197,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,269,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
198,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,283,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
199,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,361,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
200,BS34A,NA,1939,NA,1879,60,Acer saccharum,ACSA,391,NA,4.3,NA,5.2,NA,NA,NA,NA,NA,NA
